timestamp,minValue,maxValue,mean,stdDev,nSamples
8701932892,9.9099102,11.5044231,10.7085915,0.797262788,5
8702932900,9.09090614,11.5044231,10.3867626,0.917924583,5
8703932904,9.09090614,11.5044231,10.5024157,1.20436144,4
8704932908,9.9099102,12.2807026,11.1799774,1.05711854,5
8705932912,9.9099102,12.2807026,10.7058201,0.96790278,5
8706932916,9.09090614,11.5044231,10.7056656,0.985345721,5
8707932920,10.7142868,13.0434809,11.6916533,0.975156963,4
8708932924,9.09090614,12.2807026,10.5391703,1.30901241,5
8709932932,9.09090614,11.5044231,10.5447893,1.04730237,5
8710932936,9.09090614,11.5044231,10.3867626,0.917924523,5
8711932940,9.9099102,12.2807026,10.9047966,0.992556334,4
8712932944,9.9099102,13.0434809,11.0107832,1.53136516,5
8713932948,9.09090614,12.2807026,10.7000465,1.2608875,5
8714932952,10.7142868,13.0434809,11.4941196,1.09801424,4
8715932960,9.9099102,11.5044231,10.8694658,0.666192472,5
8716932964,9.09090614,13.0434809,10.8554487,1.41075075,5
8717932968,9.09090614,11.5044231,10.5024157,1.20436144,4
8718932972,9.9099102,11.5044231,11.0274935,0.712298274,5
8719932976,9.09090614,13.0434809,10.6917267,1.57926619,5
8720932980,9.09090614,11.5044231,10.5447893,1.04730225,5
8721932988,10.7142868,12.2807026,11.4974947,0.904370546,4
8722932992,9.09090614,12.2807026,10.7000456,1.26088727,5
8723932996,9.09090614,13.7931051,10.6836243,1.83056188,5
8724933000,9.09090614,12.2807026,10.7000456,1.30233276,4
8725933004,9.9099102,11.5044231,11.0274935,0.712298393,5
8726933008,9.09090614,12.2807026,10.3811426,1.20707726,5
8727933012,9.9099102,11.5044231,10.5505638,0.667894602,5
8728933020,10.7142868,13.0434809,11.4941196,1.09801424,4
8729933024,9.9099102,12.2807026,10.7029715,1.12008905,5
8730933028,9.09090614,13.0434809,10.533699,1.51587427,5
8731933032,9.09090614,12.2807026,10.6964855,1.45591819,4
8732933036,9.9099102,11.5044231,11.0274935,0.712298393,5
8733933044,9.09090614,12.2807026,10.3811426,1.20707726,5
8734933048,9.09090614,12.2807026,10.8609209,1.18383181,5
8735933052,9.9099102,12.2807026,11.4939346,1.11762416,4
8736933056,9.09090614,12.2807026,10.6944265,1.48616552,5
8737933060,9.09090614,13.0434809,10.6917267,1.57926607,5
8738933064,9.09090614,11.5044231,10.5024157,1.20436144,4
8739933068,9.09090614,12.2807026,10.8609209,1.18383181,5
8740933076,9.09090614,12.2807026,10.8609209,1.18383181,5
8741933080,9.09090614,11.5044231,10.702817,1.13519537,5
8742933084,9.9099102,12.2807026,11.2998648,0.996277094,4
8743933088,9.09090614,13.0434809,10.8526011,1.51955545,5
8744933092,9.09090614,13.0434809,10.533699,1.51587427,5
8745933096,9.09090614,11.5044231,10.5059757,1.01424956,4
8746933100,9.9099102,11.5044231,11.0274935,0.712298274,5
8747933108,9.09090614,13.0434809,10.533699,1.51587403,5
8748933112,9.09090614,11.5044231,10.5447893,1.04730225,5
8749933116,10.7142868,12.2807026,11.4974947,0.904370546,4
8750933120,9.09090614,12.2807026,10.7000456,1.26088727,5
8751933124,9.09090614,13.0434809,10.6945744,1.47526205,5
8752933128,9.09090614,12.2807026,10.7000456,1.30233276,4
8753933136,9.9099102,11.5044231,11.0274935,0.712298393,5
8754933140,9.09090614,12.2807026,10.3811426,1.20707726,5
8755933144,9.9099102,12.2807026,10.7058191,0.96790278,5
8756933148,9.9099102,12.2807026,11.1023312,1.02024233,4
8757933164,9.09090614,12.2807026,10.5391703,1.30901241,5
8758933156,9.9099102,13.0434809,10.6975002,1.3569088,5
8759933164,9.09090614,11.5044231,10.5024157,1.20436144,4
8760933168,9.9099102,11.5044231,10.8694668,0.666192353,5
8761933196,9.09090614,12.2807026,10.5420179,1.18191195,5
8762933176,9.09090614,13.0434809,11.0134773,1.43503094,5
8763933180,9.9099102,13.0434809,11.293025,1.33625472,4
8764933184,9.9099102,12.2807026,10.8582268,1.29853654,5
8765933192,9.09090614,13.0434809,10.6917267,1.57926607,5
8766933196,9.09090614,11.5044231,10.5024157,1.20436144,4
8767933200,9.09090614,12.2807026,11.0189476,1.21177173,5
8768933204,9.09090614,12.2807026,10.8609209,1.18383181,5
8769933208,9.09090614,11.5044231,10.5447893,1.04730225,5
8770933212,9.9099102,12.2807026,11.4939346,1.11762416,4
8771933216,9.09090614,13.0434809,10.8526011,1.51955545,5
8772933220,9.09090614,13.0434809,10.533699,1.51587427,5
8773933228,9.9099102,11.5044231,10.7107267,0.650970161,4
8774933232,10.7142868,11.5044231,11.0303421,0.432775199,5
8775933236,9.09090614,13.0434809,10.533699,1.51587403,5
8776933240,9.09090614,11.5044231,10.702817,1.13519537,5
8777933244,11.5044231,12.2807026,11.698493,0.388139725,4
8778933252,9.9099102,12.2807026,10.7029715,1.12008905,5
8779933256,9.9099102,13.0434809,10.8555269,1.40452695,5
8780933260,9.9099102,12.2807026,10.9047966,0.992556334,4
8781933264,9.9099102,12.2807026,10.8666954,0.863790691,5
8782933268,9.09090614,11.5044231,10.702817,1.13519549,5
8783933272,9.09090614,12.2807026,10.6944265,1.48616564,5
8784933276,9.09090614,11.5044231,10.9010439,1.20675838,4
8785933292,9.9099102,12.2807026,10.7029715,1.12008905,5
8786933288,9.09090614,13.7931051,11.0025253,1.80072248,5
8787933292,9.9099102,11.5044231,10.7107267,0.650970161,4
8788933296,9.9099102,13.0434809,11.0164022,1.31216776,5
8789933300,9.9099102,11.5044231,10.5505638,0.667894483,5
8790933304,9.09090614,12.2807026,10.7000465,1.2608875,5
8791933312,9.09090614,11.5044231,10.9010439,1.20675838,4
8792933316,9.9099102,12.2807026,11.0247221,0.900436819,5
8793933320,9.09090614,13.0434809,10.6945744,1.47526157,5
8794933324,9.9099102,11.5044231,10.7107267,0.650970161,4
8795933328,9.9099102,12.2807026,11.0191031,1.19758034,5
8796933332,9.09090614,11.5044231,10.5476379,0.883292258,5
8797933340,9.9099102,11.5044231,10.3896885,0.713890731,5
8798933344,9.9099102,12.2807026,11.2998648,0.996277153,4
8799933348,9.9099102,13.0434809,11.0164022,1.31216788,5
8800933352,9.09090614,13.0434809,10.6945744,1.47526157,5
8801933356,10.7142868,11.5044231,10.9118214,0.395068139,4
8802933360,9.9099102,11.5044231,10.8694658,0.666192532,5
8803933368,9.09090614,11.5044231,10.5447903,1.04730248,5
8804933372,9.09090614,13.0434809,10.6917267,1.57926607,5
8805933376,9.9099102,12.2807026,11.1023312,1.02024233,4
8806933380,9.9099102,12.2807026,10.7058201,0.96790278,5
8807933384,9.9099102,13.0434809,10.8555269,1.40452695,5
8808933388,9.9099102,12.2807026,10.9047966,0.992556334,4
8809933392,9.9099102,12.2807026,10.8638458,1.03201008,5
8810933400,9.09090614,11.5044231,10.5447903,1.04730272,5
8811933400,9.09090614,12.2807026,10.6944265,1.48616564,5
8812933408,9.09090614,11.5044231,10.9010439,1.20675838,4
8813933412,9.9099102,12.2807026,10.8666945,0.863790929,5
8814933416,9.09090614,13.7931051,10.8444986,1.78022003,5
8815933420,9.9099102,11.5044231,10.7107267,0.650970161,4
8816933428,9.9099102,13.0434809,11.1772776,1.18582034,5
8817933432,9.09090614,11.5044231,10.5447903,1.0473026,5
8818933436,9.09090614,12.2807026,10.7000465,1.2608875,5
8819933440,9.09090614,13.0434809,11.088274,1.64573789,4
8820933444,9.09090614,12.2807026,11.0189476,1.21177161,5
8821933448,9.09090614,13.0434809,10.533699,1.51587355,5
8822933452,9.9099102,11.5044231,10.7107267,0.650970161,4
8823933460,9.9099102,11.5044231,10.8666182,0.87335068,5
8824933464,9.09090614,11.5044231,10.3867626,0.917924404,5
8825933468,9.9099102,11.5044231,10.7114391,0.563759208,5
8826933472,9.9099102,12.2807026,11.2964001,1.18306279,4
8827933476,9.9099102,12.2807026,10.7058201,0.96790278,5
8828933480,9.09090614,13.0434809,10.6917267,1.57926619,5
8829933484,10.7142868,11.5044231,11.109355,0.45618543,4
8830933492,9.9099102,12.2807026,10.7029715,1.12008905,5
8831933496,9.09090614,12.2807026,10.7000465,1.26088703,5
8832933500,9.09090614,13.0434809,10.6917267,1.57926607,5
8833933504,9.9099102,12.2807026,11.1023312,1.02024233,4
8834933508,9.9099102,12.2807026,10.8638468,1.03200972,5
8835933512,9.09090614,13.0434809,10.6917267,1.57926619,5
8836933520,9.9099102,11.5044231,10.7107267,0.650970161,4
8837933524,9.9099102,12.2807026,10.7058191,0.967902839,5
8838933528,9.09090614,12.2807026,10.7000456,1.26088727,5
8839933532,9.9099102,11.5044231,10.3896885,0.713890731,5
8840933536,9.9099102,12.2807026,11.2998648,0.996277273,4
8841933540,9.9099102,12.2807026,10.8666945,0.863790929,5
8842933548,9.09090614,13.0434809,10.6917267,1.57926619,5
8843933552,9.9099102,12.2807026,10.9047966,0.992556334,4
8844933556,9.9099102,13.0434809,11.0164022,1.31216776,5
8845933560,9.9099102,11.5044231,10.5505638,0.667894483,5
8846933564,9.9099102,11.5044231,10.5505638,0.667894542,5
8847933568,9.09090614,12.2807026,11.0951138,1.38534439,4
8848933572,9.9099102,12.2807026,10.7029715,1.12008905,5
8849933580,9.09090614,13.0434809,10.6945744,1.47526205,5
8850933592,10.7142868,11.5044231,11.109355,0.45618543,4
8851933588,9.9099102,12.2807026,11.0218735,1.06340075,5
8852933592,9.09090614,11.5044231,10.3867626,0.917924404,5
8853933596,9.9099102,11.5044231,10.7114391,0.563759208,5
8854933604,9.9099102,12.2807026,11.2964001,1.18306279,4
8855933608,9.9099102,12.2807026,10.8638468,1.03200972,5
8856933612,9.09090614,13.0434809,10.8526011,1.51955497,5
8857933616,10.7142868,11.5044231,10.9118214,0.395068139,4
8858933620,9.9099102,11.5044231,10.7085905,0.797263026,5
8859933624,9.09090614,11.5044231,10.7056656,0.985345542,5
8860933632,9.09090614,12.2807026,10.5391703,1.30901229,5
8861933632,9.09090614,11.5044231,10.9010439,1.20675838,4
8862933640,9.9099102,12.2807026,10.8638468,1.03200972,5
8863933652,9.09090614,13.0434809,10.6945744,1.47526157,5
8864933648,10.7142868,11.5044231,10.9118214,0.395068139,4
8865933652,9.9099102,12.2807026,10.8666954,0.863790691,5
8866933656,9.09090614,12.2807026,10.5420179,1.18191183,5
8867933664,9.09090614,12.2807026,10.5391703,1.30901229,5
8868933668,9.9099102,12.2807026,11.2998648,0.996277273,4
8869933672,9.9099102,12.2807026,10.8666945,0.863790929,5
8870933676,9.09090614,13.0434809,10.6945744,1.47526157,5
8871933680,9.9099102,12.2807026,10.9047966,0.992556334,4
8872933684,9.9099102,12.2807026,10.8638458,1.03201008,5
8873933688,9.09090614,11.5044231,10.3867626,0.917924404,5
8874933696,9.9099102,12.2807026,10.7058201,0.967902839,5
8875933700,9.09090614,11.5044231,10.9010439,1.20675838,4
8876933708,9.9099102,12.2807026,10.7029715,1.12008905,5
8877933708,9.09090614,13.7931051,10.8444986,1.78021979,5
8878933712,9.09090614,11.5044231,10.5059757,1.01424956,4
8879933716,9.9099102,12.2807026,11.0218735,1.06340075,5
8880933724,9.9099102,11.5044231,10.3896885,0.713890672,5
8881933728,9.09090614,12.2807026,10.7000465,1.26088762,5
8882933732,10.7142868,11.5044231,11.3068886,0.395068318,4
8883933736,9.9099102,12.2807026,10.8582268,1.29853654,5
8884933740,9.09090614,13.0434809,10.846982,1.71173692,5
8885933744,10.7142868,11.5044231,10.9118214,0.395068139,4
8886933752,9.9099102,12.2807026,10.8638458,1.03201008,5
8887933756,9.09090614,11.5044231,10.7056656,0.985345542,5
8888933760,9.9099102,11.5044231,10.3896885,0.713890731,5
8889933764,9.9099102,12.2807026,11.2998648,0.996277153,4
8890933768,9.9099102,13.0434809,11.0164022,1.31216788,5
8891933800,9.09090614,13.0434809,10.8526011,1.51955521,5
8892933780,10.7142868,11.5044231,11.109355,0.456185281,4
8893933784,9.9099102,11.5044231,10.8694658,0.666192472,5
8894933788,9.09090614,11.5044231,10.3867626,0.917924583,5
8895933792,9.09090614,12.2807026,10.5391703,1.30901229,5
8896933796,10.7142868,12.2807026,11.5009594,0.639498949,4
8897933800,9.9099102,12.2807026,10.8666945,0.863790929,5
8898933804,9.9099102,13.0434809,10.6974993,1.35690808,5
8899933812,9.9099102,12.2807026,10.9047966,0.992556334,4
8900933816,9.9099102,11.5044231,10.5505638,0.667894363,5
8901933820,9.09090614,11.5044231,10.5447903,1.04730272,5
8902933824,9.09090614,12.2807026,10.6944265,1.48616564,5
8903933828,9.09090614,11.5044231,10.9010439,1.20675838,4
8904933836,9.9099102,12.2807026,10.7029715,1.12008905,5
8905933840,9.09090614,13.7931051,11.0025253,1.80072248,5
8906933844,9.9099102,11.5044231,10.7107267,0.650970161,4
8907933848,9.9099102,12.2807026,10.8638458,1.03201008,5
8908933852,9.9099102,11.5044231,10.5505638,0.667894483,5
8909933856,9.09090614,12.2807026,10.7000465,1.2608875,5
8910933860,9.09090614,11.5044231,10.9010439,1.20675838,4
8911933864,9.9099102,12.2807026,11.1799774,1.05711854,5
8912933872,9.09090614,13.0434809,10.6945744,1.47526157,5
8913933876,9.9099102,11.5044231,10.7107267,0.650970161,4
8914933880,9.9099102,12.2807026,10.8638468,1.0320096,5
8915933884,9.09090614,11.5044231,10.5476379,0.883292258,5
8916933888,9.9099102,11.5044231,10.5505638,0.667894542,5
8917933896,9.09090614,12.2807026,11.0951138,1.38534451,4
8918933900,9.9099102,13.0434809,11.0164022,1.31216788,5
8919933904,9.09090614,13.0434809,10.6945744,1.47526157,5
8920933908,10.7142868,11.5044231,11.3068886,0.395068318,4
8921933912,9.9099102,11.5044231,10.8694658,0.666192472,5
8922933916,9.09090614,11.5044231,10.3867626,0.917924583,5
8923933920,9.09090614,13.0434809,10.6917267,1.57926607,5
8924933924,10.7142868,12.2807026,11.3034248,0.750475228,4
8925933932,9.09090614,12.2807026,10.7028942,1.12787116,5
8926933936,9.9099102,13.0434809,10.8555269,1.40452695,5
8927933940,9.9099102,12.2807026,10.9047966,0.992556334,4
8928933944,9.9099102,11.5044231,10.5505638,0.667894363,5
8929933948,9.09090614,11.5044231,10.5447903,1.04730272,5
8930933956,9.09090614,12.2807026,10.6944265,1.48616564,5
8931933960,9.09090614,11.5044231,10.9010439,1.20675838,4
8932933964,9.9099102,12.2807026,10.8666945,0.863790929,5
8933933968,9.09090614,13.7931051,11.0053749,1.70959282,5
8934933972,9.9099102,11.5044231,10.7107267,0.650970161,4
8935933976,9.9099102,12.2807026,11.0247221,0.900436759,5
8936933980,9.09090614,11.5044231,10.3867626,0.917924583,5
8937933988,9.09090614,12.2807026,10.7000465,1.2608875,5
8938933992,9.09090614,13.0434809,11.088274,1.64573789,4
8939933996,9.09090614,12.2807026,11.0189476,1.21177161,5
8940934000,9.09090614,13.0434809,10.533699,1.51587355,5
8941934004,9.9099102,11.5044231,10.7107267,0.650970161,4
8942934008,9.9099102,11.5044231,10.8666182,0.87335068,5
8943934016,9.09090614,11.5044231,10.3867626,0.917924404,5
8944934020,9.9099102,11.5044231,10.7114391,0.563759208,5
8945934024,9.09090614,12.2807026,11.0951138,1.38534451,4
8946934028,9.9099102,12.2807026,10.7029715,1.12008905,5
8947934032,9.09090614,13.0434809,10.6917267,1.57926619,5
8948934036,10.7142868,11.5044231,11.109355,0.45618543,4
8949934040,9.9099102,12.2807026,10.8638458,1.03201008,5
8950934048,9.09090614,11.5044231,10.7056656,0.985345542,5
8951934052,9.09090614,13.0434809,10.6917267,1.57926607,5
8952934056,9.9099102,12.2807026,11.1023312,1.02024233,4
8953934060,9.9099102,12.2807026,10.8638468,1.03200972,5
8954934064,9.09090614,13.0434809,10.846982,1.71173716,5
8955934068,9.9099102,11.5044231,10.7107267,0.650970161,4
8956934084,9.9099102,12.2807026,10.8638458,1.03201008,5
8957934080,9.09090614,12.2807026,10.7000456,1.26088727,5
8958934084,9.09090614,12.2807026,10.5391703,1.30901229,5
8959934088,9.09090614,12.2807026,11.0951138,1.38534427,4
8960934092,9.9099102,12.2807026,10.8666945,0.863790929,5
8961934096,9.09090614,13.7931051,10.8444986,1.78022003,5
8962934104,10.7142868,12.2807026,11.1058903,0.783207834,4
8963934108,9.9099102,12.2807026,10.8666954,0.863790751,5
8964934112,9.09090614,11.5044231,10.3867626,0.917924583,5
8965934116,9.09090614,12.2807026,10.5391703,1.30901229,5
8966934120,9.09090614,13.0434809,11.088274,1.64573789,4
8967934124,9.9099102,12.2807026,10.7058201,0.96790278,5
8968934128,9.09090614,13.0434809,10.6917267,1.57926619,5
8969934136,9.9099102,11.5044231,10.9082603,0.762703061,4
8970934140,9.9099102,12.2807026,10.8638458,1.03201008,5
