timestamp,detectedApogees,state
8433684188,0,4
8536229480,0,5
8536247316,1,5
8536267300,2,5
8536287304,3,5
8536307300,4,5
8536327304,5,5
8536347172,6,5
8536367172,0,5
8536387172,0,5
8536407172,0,5
8536427180,0,5
8536447140,0,5
8536467140,0,5
8536487144,0,5
8536507140,0,5
8536527148,0,5
8536547304,0,5
8536567300,0,5
8536587304,0,5
8536607300,0,5
8536627308,0,5
8536647172,0,5
8536667172,0,5
8536687172,0,5
8536707172,0,5
8536727180,0,5
8536747140,0,5
8536767144,0,5
8536787144,0,5
8536807140,0,5
8536827148,0,5
8536847304,0,5
8536867300,0,5
8536887304,0,5
8536907312,0,5
8536927308,0,5
8536947176,0,5
8536967176,0,5
8536987176,0,5
8537007176,0,5
8537027180,0,5
8537047144,0,5
8537067144,0,5
8537087144,0,5
8537107144,0,5
8537127148,0,5
8537147304,0,5
8537167300,0,5
8537187308,0,5
8537207304,0,5
8537227308,0,5
8537247176,0,5
8537267176,0,5
8537287176,0,5
8537307176,0,5
8537327184,0,5
8537347144,0,5
8537367144,0,5
8537387144,0,5
8537407144,0,5
8537427152,0,5
8537447312,0,5
8537467304,0,5
8537487308,0,5
8537507300,0,5
8537527312,0,5
8537547176,0,5
8537567176,0,5
8537587184,0,5
8537607180,0,5
8537627188,0,5
8537647144,0,5
8537667144,0,5
8537687148,0,5
8537707148,0,5
8537727152,0,5
8537747312,0,5
8537767304,0,5
8537787308,0,5
8537807308,0,5
8537827308,0,5
8537847180,0,5
8537867180,0,5
8537887180,0,5
8537907176,0,5
8537927184,0,5
8537947148,0,5
8537967148,0,5
8537987148,0,5
8538007148,0,5
8538027156,0,5
8538047312,0,5
8538067312,0,5
8538087308,0,5
8538107304,0,5
8538127308,0,5
8538147180,0,5
8538167176,0,5
8538187180,0,5
8538207180,0,5
8538227188,0,5
8538247148,0,5
8538267152,0,5
8538287152,0,5
8538307148,0,5
8538327156,0,5
8538347308,0,5
8538367304,0,5
8538387312,0,5
8538407304,0,5
8538427308,0,5
8538447180,0,5
8538467180,0,5
8538487184,0,5
8538507180,0,5
8538527188,0,5
8538547152,0,5
8538567152,0,5
8538587152,0,5
8538607148,0,5
8538627156,0,5
8538647312,0,5
8538667308,0,5
8538687320,0,5
8538707308,0,5
8538727312,0,5
8538747184,0,5
8538767184,0,5
8538787184,0,5
8538807184,0,5
8538827188,0,5
8538847152,0,5
8538867152,0,5
8538887152,0,5
8538907156,0,5
8538927160,0,5
8538947320,0,5
8538967316,0,5
8538987316,0,5
8539007308,0,5
8539027320,0,5
8539047184,0,5
8539067180,0,5
8539087184,0,5
8539107180,0,5
8539127192,0,5
8539147156,0,5
8539167152,0,5
8539187156,0,5
8539207156,0,5
8539227160,0,5
8539247312,0,5
8539267312,0,5
8539287320,0,5
8539307312,0,5
8539327320,0,5
8539347184,0,5
8539367188,0,5
8539387188,0,5
8539407184,0,5
8539427192,0,5
8539447156,0,5
8539467156,0,5
8539487156,0,5
8539507156,0,5
8539527160,0,5
8539547320,0,5
8539567316,0,5
8539587316,0,5
8539607316,0,5
8539627320,0,5
8539647188,0,5
8539667184,0,5
8539687188,0,5
8539707188,0,5
8539727192,0,5
8539747160,0,5
8539767156,0,5
8539787156,0,5
8539807156,0,5
8539827164,0,5
8539847316,0,5
8539867316,0,5
8539887320,0,5
8539907312,0,5
8539927320,0,5
8539947188,0,5
8539967188,0,5
8539987192,0,5
8540007188,0,5
8540027196,0,5
8540047160,0,5
8540067160,0,5
8540087160,0,5
8540107156,0,5
8540127164,0,5
8540147320,0,5
8540167316,0,5
8540187324,0,5
8540207316,0,5
8540227348,0,5
8540247192,0,5
8540267192,0,5
8540287192,0,5
8540307188,0,5
8540327196,0,5
8540347156,0,5
8540367160,0,5
8540387160,0,5
8540407160,0,5
8540427164,0,5
8540447324,0,5
8540467320,0,5
8540487324,0,5
8540507320,0,5
8540527324,0,5
8540547192,0,5
8540567188,0,5
8540587192,0,5
8540607192,0,5
8540627196,0,5
8540647160,0,5
8540667160,0,5
8540687160,0,5
8540707160,0,5
8540727168,0,5
8540747324,0,5
8540767320,0,5
8540787320,0,5
8540807320,0,5
8540827344,0,5
8540847192,0,5
8540867192,0,5
8540887196,0,5
8540907192,0,5
8540927212,0,5
8540947164,0,5
8540967160,0,5
8540987164,0,5
8541007160,0,5
8541027184,0,5
8541047324,0,5
8541067320,0,5
8541087324,0,5
8541107320,0,5
8541127340,0,5
8541147192,0,5
8541167192,0,5
8541187192,0,5
8541207192,0,5
8541227212,0,5
8541247164,0,5
8541267164,0,5
8541287164,0,5
8541307164,0,5
8541327184,0,5
8541347324,0,5
8541367324,0,5
8541387324,0,5
8541407320,0,5
8541427340,0,5
8541447196,0,5
8541467196,0,5
8541487196,0,5
8541507196,0,5
8541527216,0,5
8541547168,0,5
8541567164,0,5
8541587164,0,5
8541607164,0,5
8541627188,0,5
8541647324,0,5
8541667328,0,5
8541687328,0,5
8541707324,0,5
8541727344,0,5
8541747196,0,5
8541767196,0,5
8541787196,0,5
8541807196,0,5
8541827216,0,5
8541847164,0,5
8541867168,0,5
8541887168,0,5
8541907164,0,5
8541927188,0,5
8541947332,0,5
8541967328,0,5
8541987332,0,5
8542007320,0,5
8542027344,0,5
8542047200,0,5
8542067196,0,5
8542087196,0,5
8542107200,0,5
8542127216,0,5
8542147168,0,5
8542167168,0,5
8542187168,0,5
8542207168,0,5
8542227192,0,5
8542247328,0,5
8542267328,0,5
8542287332,0,5
8542307328,0,5
8542327348,0,5
8542347200,0,5
8542367200,0,5
8542387200,0,5
8542407200,0,5
8542427220,0,5
8542447168,0,5
8542467168,0,5
8542487168,0,5
8542507172,0,5
8542527192,0,5
8542547332,0,5
8542567324,0,5
8542587328,0,5
8542607324,0,5
8542627344,0,5
8542647196,0,5
8542667200,0,5
8542687200,0,5
8542707200,0,5
8542727220,0,5
8542747172,0,5
8542767172,0,5
8542787172,0,5
8542807172,0,5
8542827192,0,5
8542847332,0,5
8542867340,0,5
8542887336,0,5
8542907328,0,5
8542927356,0,5
8542947204,0,5
8542967204,0,5
8542987204,0,5
8543007200,0,5
8543027220,0,5
8543047168,0,5
8543067172,0,5
8543087172,0,5
8543107172,0,5
8543127196,0,5
8543147336,0,5
8543167328,0,5
8543187332,0,5
8543207324,0,5
8543227348,0,5
8543247200,0,5
8543267204,0,5
8543287204,0,5
8543307200,0,5
8543327220,0,5
8543347172,0,5
8543367172,0,5
8543387172,0,5
8543407172,0,5
8543427196,0,5
8543447336,0,5
8543467332,0,5
8543487340,0,5
8543507328,0,5
8543527368,0,5
8543547204,0,5
8543567204,0,5
8543587208,0,5
8543607204,0,5
8543627224,0,5
8543647172,0,5
8543667176,0,5
8543687176,0,5
8543707172,0,5
8543727196,0,5
8543747336,0,5
8543767336,0,5
8543787340,0,5
8543807332,0,5
8543827352,0,5
8543847204,0,5
8543867208,0,5
8543887208,0,5
8543907204,0,5
8543927224,0,5
8543947176,0,5
8543967176,0,5
8543987180,0,5
8544007176,0,5
8544027200,0,5
8544047340,0,5
8544067336,0,5
8544087336,0,5
8544107332,0,5
8544127352,0,5
8544147208,0,5
8544167208,0,5
8544187212,0,5
8544207212,0,5
8544227228,0,5
8544247176,0,5
8544267176,0,5
8544287180,0,5
8544307176,0,5
8544327200,0,5
8544347336,0,5
8544367332,0,5
8544387340,0,5
8544407336,0,5
8544427356,0,5
8544447208,0,5
8544467208,0,5
8544487212,0,5
8544507208,0,5
8544527228,0,5
8544547180,0,5
8544567176,0,5
8544587180,0,5
8544607180,0,5
8544627204,0,5
8544647340,0,5
8544667336,0,5
8544687340,0,5
8544707336,0,5
8544727356,0,5
8544747208,0,5
8544767208,0,5
8544787212,0,5
8544807208,0,5
8544827228,0,5
8544847188,0,5
8544867180,0,5
8544887180,0,5
8544907180,0,5
8544927200,0,5
8544947348,0,5
8544967336,0,5
8544987344,0,5
8545007336,0,5
8545027356,0,5
8545047208,0,5
8545067212,0,5
8545087212,0,5
8545107212,0,5
8545127228,0,5
8545147180,0,5
8545167180,0,5
8545187180,0,5
8545207184,0,5
8545227200,0,5
8545247340,0,5
8545267344,0,5
8545287348,0,5
8545307336,0,5
8545327360,0,5
8545347212,0,5
8545367212,0,5
8545387212,0,5
8545407212,0,5
8545427228,0,5
8545447184,0,5
8545467184,0,5
8545487184,0,5
8545507188,0,5
8545527204,0,5
8545547348,0,5
8545567344,0,5
8545587344,0,5
8545607340,0,5
8545627360,0,5
8545647212,0,5
8545667212,0,5
8545687216,0,5
8545707216,0,5
8545727232,0,5
8545747184,0,5
8545767184,0,5
8545787184,0,5
8545807184,0,5
8545827204,0,5
8545847344,0,5
8545867340,0,5
8545887344,0,5
8545907344,0,5
8545927364,0,5
8545947220,0,5
8545967216,0,5
8545987216,0,5
8546007216,0,5
8546027236,0,5
8546047184,0,5
8546067184,0,5
8546087184,0,5
8546107188,0,5
8546127208,0,5
8546147348,0,5
8546167372,0,5
8546187348,0,5
8546207344,0,5
8546227368,0,5
8546229372,0,6
8546247216,0,6
8546267216,0,6
8546287216,0,6
8546307216,0,6
8546327236,0,6
8546347188,0,6
8546367188,0,6
8546387188,0,6
8546407188,0,6
8546427208,0,6
8546447348,0,6
8546467344,0,6
8546487348,0,6
8546507344,0,6
8546527364,0,6
8546547220,0,6
8546567220,0,6
8546587220,0,6
8546607220,0,6
8546627236,0,6
8546647188,0,6
8546667188,0,6
8546687188,0,6
8546707188,0,6
8546727208,0,6
8546747352,0,6
8546767348,0,6
8546787352,0,6
8546807344,0,6
8546827376,0,6
8546847220,0,6
8546867220,0,6
8546887220,0,6
8546907220,0,6
8546927240,0,6
8546947192,0,6
8546967192,0,6
8546987192,0,6
8547007188,0,6
8547027212,0,6
8547047352,0,6
8547067348,0,6
8547087352,0,6
8547107348,0,6
8547127364,0,6
8547147220,0,6
8547167220,0,6
8547187224,0,6
8547207220,0,6
8547227240,0,6
8547247192,0,6
8547267192,0,6
8547287192,0,6
8547307192,0,6
8547327212,0,6
8547347352,0,6
8547367348,0,6
8547387356,0,6
8547407348,0,6
8547427368,0,6
8547447224,0,6
8547467224,0,6
8547487224,0,6
8547507220,0,6
8547527244,0,6
8547547192,0,6
8547567192,0,6
8547587192,0,6
8547607192,0,6
8547627212,0,6
8547647356,0,6
8547667352,0,6
8547687356,0,6
8547707348,0,6
8547727368,0,6
8547747224,0,6
8547767224,0,6
8547787224,0,6
8547807224,0,6
8547827244,0,6
8547847192,0,6
8547867192,0,6
8547887196,0,6
8547907192,0,6
8547927212,0,6
8547947360,0,6
8547967356,0,6
8547987360,0,6
8548007352,0,6
8548027376,0,6
8548047224,0,6
8548067224,0,6
8548087228,0,6
8548107224,0,6
8548127240,0,6
8548147196,0,6
8548167196,0,6
8548187196,0,6
8548207196,0,6
8548227220,0,6
8548247356,0,6
8548267352,0,6
8548287360,0,6
8548307352,0,6
8548327368,0,6
8548347228,0,6
8548367228,0,6
8548387228,0,6
8548407228,0,6
8548427244,0,6
8548447200,0,6
8548467196,0,6
8548487196,0,6
8548507196,0,6
8548527220,0,6
8548547360,0,6
8548567356,0,6
8548587356,0,6
8548607352,0,6
8548627376,0,6
8548647224,0,6
8548667228,0,6
8548687228,0,6
8548707228,0,6
8548727244,0,6
8548747200,0,6
8548767196,0,6
8548787200,0,6
8548807200,0,6
8548827220,0,6
8548847360,0,6
8548867360,0,6
8548887360,0,6
8548907356,0,6
8548927376,0,6
8548947232,0,6
8548967228,0,6
8548987232,0,6
8549007228,0,6
8549027248,0,6
8549047200,0,6
8549067200,0,6
8549087200,0,6
8549107200,0,6
8549127220,0,6
8549147360,0,6
8549167356,0,6
8549187364,0,6
8549207356,0,6
8549227372,0,6
8549247232,0,6
8549267232,0,6
8549287232,0,6
8549307232,0,6
8549327248,0,6
8549347200,0,6
8549367200,0,6
8549387200,0,6
8549407200,0,6
8549427220,0,6
8549447364,0,6
8549467388,0,6
8549487368,0,6
8549507364,0,6
8549527388,0,6
8549547232,0,6
8549567232,0,6
8549587232,0,6
8549607232,0,6
8549627248,0,6
8549647200,0,6
8549667200,0,6
8549687204,0,6
8549707204,0,6
8549727224,0,6
8549747364,0,6
8549767364,0,6
8549787372,0,6
8549807360,0,6
8549827380,0,6
8549847232,0,6
8549867236,0,6
8549887236,0,6
8549907232,0,6
8549927252,0,6
8549947204,0,6
8549967204,0,6
8549987208,0,6
8550007204,0,6
8550027224,0,6
8550047364,0,6
8550067360,0,6
8550087368,0,6
8550107364,0,6
8550127408,0,6
8550147236,0,6
8550167236,0,6
8550187236,0,6
8550207236,0,6
8550227252,0,6
8550247204,0,6
8550267204,0,6
8550287204,0,6
8550307204,0,6
8550327224,0,6
8550347364,0,6
8550367360,0,6
8550387368,0,6
8550407364,0,6
8550427380,0,6
8550447240,0,6
8550467236,0,6
8550487236,0,6
8550507236,0,6
8550527252,0,6
8550547208,0,6
8550567208,0,6
8550587208,0,6
8550607208,0,6
8550627228,0,6
8550647368,0,6
8550667364,0,6
8550687368,0,6
8550707360,0,6
8550727384,0,6
8550747236,0,6
8550767236,0,6
8550787248,0,6
8550807240,0,6
8550827256,0,6
8550847208,0,6
8550867208,0,6
8550887208,0,6
8550907208,0,6
8550927232,0,6
8550947372,0,6
8550967368,0,6
8550987376,0,6
8551007364,0,6
8551027384,0,6
8551047240,0,6
8551067240,0,6
8551087240,0,6
8551107240,0,6
8551127260,0,6
8551147208,0,6
8551167208,0,6
8551187212,0,6
8551207208,0,6
8551227228,0,6
8551247372,0,6
8551267368,0,6
8551287376,0,6
8551307368,0,6
8551327384,0,6
8551347240,0,6
8551367244,0,6
8551387240,0,6
8551407240,0,6
8551427260,0,6
8551447212,0,6
8551467212,0,6
8551487212,0,6
8551507212,0,6
8551527232,0,6
8551547376,0,6
8551567368,0,6
8551587376,0,6
8551607368,0,6
8551627388,0,6
8551647240,0,6
8551667244,0,6
8551687244,0,6
8551707240,0,6
8551727260,0,6
8551747212,0,6
8551767212,0,6
8551787212,0,6
8551807212,0,6
8551827232,0,6
8551847372,0,6
8551867372,0,6
8551887376,0,6
8551907372,0,6
8551927388,0,6
8551947244,0,6
8551967240,0,6
8551987244,0,6
8552007244,0,6
8552027260,0,6
8552047212,0,6
8552067212,0,6
8552087216,0,6
8552107216,0,6
8552127232,0,6
8552147376,0,6
8552167376,0,6
8552187376,0,6
8552207368,0,6
8552227388,0,6
8552247244,0,6
8552267244,0,6
8552287248,0,6
8552307244,0,6
8552327264,0,6
8552347216,0,6
8552367216,0,6
8552387216,0,6
8552407216,0,6
8552427232,0,6
8552447380,0,6
8552467372,0,6
8552487380,0,6
8552507372,0,6
8552527392,0,6
8552547248,0,6
8552567248,0,6
8552587248,0,6
8552607248,0,6
8552627264,0,6
8552647216,0,6
8552667216,0,6
8552687216,0,6
8552707216,0,6
8552727236,0,6
8552747380,0,6
8552767404,0,6
8552787384,0,6
8552807380,0,6
8552827392,0,6
8552847248,0,6
8552867248,0,6
8552887248,0,6
8552907248,0,6
8552927268,0,6
8552947216,0,6
8552967216,0,6
8552987220,0,6
8553007220,0,6
8553027240,0,6
8553047380,0,6
8553067376,0,6
8553087376,0,6
8553107372,0,6
8553127400,0,6
8553147248,0,6
8553167248,0,6
8553187248,0,6
8553207248,0,6
8553227264,0,6
8553247220,0,6
8553267220,0,6
8553287220,0,6
8553307216,0,6
8553327240,1,6
8553347380,2,6
8553367376,3,6
8553387384,4,6
8553407376,5,6
8553427448,6,6
8553428820,6,7
